"","job_id","task_index","start_time","end_time","task_duration","number_of_entries","avg_cpu_rate","avg_memory_usage","avg_disk_io_time","avg_disk_space_usage","stdev_cpu_rate","stdev_memory_usage","stdev_disk_io_time","stdev_disk_space_usage","var_cpu_rate","var_memory_usage","var_disk_io_time","var_disk_usage_space","median_cpu_rate","median_memory_usage","median_disk_io_time","median_disk_space_usage","max_cpu_time","max_memory_usage","max_disk_io_time","max_disk_usage_space"
"9294",3695027940,41,6e+08,2.514e+11,2.397e+11,799,0.211388247809762,0.04217958698373,0.000290309899874844,9.13733667083854e-05,0.0770559962939016,0.000778886136521225,0.000119745087413384,3.81760545946734e-05,0.00593762656484578,6.06663613664961e-07,1.43388859596391e-08,1.45741114441548e-09,0.2695,0.0426,0.0002756,8.965e-05,9.109,0.04272,0.07874,0.0001574
"9295",3695027940,42,6e+08,2.514e+11,2.397e+11,799,0.2141562077597,0.0418983854818525,0.000667269461827284,0.000113340625782228,0.077799303876842,0.000881158113303792,0.000227387783100465,3.87402629352152e-05,0.0060527316837212,7.76439620641099e-07,5.17052039033442e-08,1.50080797228961e-09,0.2734,0.04254,0.0006199,0.0001097,4.766,0.04297,0.09583,0.0001783
"9296",3695027940,43,6e+08,2.514e+11,2.415e+11,805,0.216578670807453,0.0424127701863355,0.00073421652173913,0.000114643652173913,0.0790171631969834,0.000839410124029944,0.000178527724306606,3.87499895564519e-05,0.00624371207969871,7.04609356323965e-07,3.18721483460956e-08,1.50156169062513e-09,0.2764,0.04254,0.0007305,0.0001106,1.77,0.04456,0.08606,0.0001793
"9297",3695027940,44,6e+08,2.514e+11,2.39211e+11,798,0.21630679197995,0.0421246491228071,0.000466629072681704,0.0001294889160401,0.0791319871952857,0.00171913974714281,0.000211126964618095,4.05352859131021e-05,0.00626187139747486,2.95544147020625e-06,4.45745951888504e-08,1.64310940405693e-09,0.272,0.04254,0.000433,0.0001259,1.021,0.04456,0.06519,0.0001965
"9298",3695027940,45,6e+08,2.514e+11,2.403e+11,801,0.217530836454432,0.0429455930087393,0.000385604868913857,0.000108883745318352,0.0799873141421467,0.000784483702285163,0.000138824365796369,3.87917762284102e-05,0.00639797042367446,6.15414679151036e-07,1.92722045387641e-08,1.50480190295505e-09,0.2783,0.0426,0.0003757,0.0001049,6.227,0.04456,0.04602,0.0001745
"9299",3695027940,46,6e+08,2.514e+11,2.43e+11,810,0.210933444444444,0.0424313086419753,0.000373328395061728,0.000137647839506173,0.0779489132239416,0.000794769841627952,0.000123344404753808,3.88828932824101e-05,0.00607603307279357,6.3165910116132e-07,1.52138421840712e-08,1.51187939001129e-09,0.2671,0.04254,0.0003462,0.0001345,0.8623,0.04456,0.04822,0.0002022
"9300",3695027940,47,6e+08,2.514e+11,2.424e+11,808,0.208924752475247,0.0410908663366337,0.000524908415841585,8.58326732673267e-05,0.0782115654281976,0.000811211398185252,0.000135051543709082,3.81721650183485e-05,0.00611704896672924,6.58063932545672e-07,1.8238919458206e-08,1.45711418218803e-09,0.2681,0.04065,0.0005183,8.392e-05,2.633,0.0426,0.05609,0.0001535
"9301",3695027940,48,6e+08,2.514e+11,2.367e+11,789,0.217819328263625,0.0429316096324464,0.000497609125475286,0.000110417617237009,0.0791288248732232,0.00086537003599411,0.000164175660050959,3.8443654033299e-05,0.00626137092581723,7.48865299196447e-07,2.69536473531682e-08,1.47791453543199e-09,0.2764,0.0426,0.000493,0.0001068,3.898,0.04462,0.06067,0.0001764
"9302",3695027940,49,6e+08,2.514e+11,2.409e+11,803,0.214847633872977,0.0421522291407225,0.000326615915317559,9.18184308841842e-05,0.0785849764511061,0.000855374755511707,0.000119145112035484,3.88320911010525e-05,0.0061755985238209,7.31665972366713e-07,1.41955577219479e-08,1.50793129928044e-09,0.2715,0.0426,0.0003071,8.774e-05,2.918,0.04462,0.05518,0.0001574
"9303",3695027940,50,6e+08,2.514e+11,2.418e+11,806,0.21335682382134,0.0422870099255585,0.000330589044665012,0.000101833734491315,0.0781530490248905,0.000738894166116664,9.52523700033764e-05,3.88744070763704e-05,0.00610789907188694,5.4596458872124e-07,9.07301399126011e-09,1.51121952553936e-09,0.2695,0.0426,0.0003195,9.823e-05,3.484,0.04462,0.05542,0.0001678
"9304",3695027940,51,6e+08,2.514e+11,2.4e+11,800,0.220361075,0.0435018499999998,0.000646400125,0.0001065520875,0.0826698227655624,0.000745810377306871,0.000188076391058464,3.88205355029818e-05,0.00683429959608949,5.56233118898618e-07,3.53727288735764e-08,1.50703397673827e-09,0.2817,0.04333,0.0006475,0.0001025,1.945,0.04547,0.05652,0.0001717
"9305",3695027940,52,6e+08,2.514e+11,2.403e+11,801,0.216080836454432,0.0422522471910114,0.000755650686641697,7.92464294631708e-05,0.0797251884706112,0.000810948792353884,0.000227466979642437,4.0836686499217e-05,0.00635610567667448,6.57637943820223e-07,5.1741226827653e-08,1.66763496423533e-09,0.2764,0.0426,0.0007076,7.439e-05,10.34,0.04462,0.07202,0.0001535
"9306",3695027940,53,6e+08,2.514e+11,2.41526e+11,806,0.213979007444169,0.0423867121588092,0.000792761488833746,0.000138336302729529,0.0741818430766143,0.000565317024476124,0.000374347437221497,3.63810173419456e-05,0.00550294584224343,3.19583338162539e-07,1.40136003754302e-07,1.32357842283495e-09,0.24965,0.0426,0.00067905,0.0001354,7.586,0.04285,0.07336,0.0001984
"9307",3695027940,54,6e+08,2.514e+11,2.412e+11,804,0.209767860696517,0.0419330721393038,0.000483601990049752,0.000124835310945274,0.0770344880368454,0.000878554167042812,0.000119112124708498,3.89774447185788e-05,0.00593431234709887,7.71857424428289e-07,1.41876982525728e-08,1.51924119678987e-09,0.2661,0.0426,0.0004735,0.0001211,0.8359,0.04272,0.06763,0.0001898
"9308",3695027940,55,6e+08,2.514e+11,2.412e+11,804,0.214481256218906,0.0423622512437813,0.000310337537313433,0.000117797587064677,0.0786082873407385,0.000704096733958162,0.000136794782584611,3.87212798564584e-05,0.00617926283864411,4.95752210770551e-07,1.8712812542371e-08,1.49933751372217e-09,0.2725,0.0426,0.00028755,0.0001144,6.32,0.04462,0.0517,0.0001822
"9309",3695027940,56,6e+08,2.514e+11,2.394e+11,798,0.217569498746868,0.0416199248120302,0.00037734060150376,8.7254007518797e-05,0.0785343606311812,0.0015375786319882,0.000170310297386487,5.02560294511582e-05,0.00616764579974843,2.36414804954672e-06,2.90055973958736e-08,2.52566849619568e-09,0.2744,0.04254,0.0003438,8.011e-05,2.703,0.04462,0.05164,0.0001755
